date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:57	107046/107046	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:02%20GMT	https://owlio.dexignzone.com/laravel/demo/student	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/student.html	(from )
11:27:58	238/238	---M--	302	error ('Found')	text/html	date:Thu,%2018%20Apr%202024%2006:04:04%20GMT	https://owlio.dexignzone.com/robots.txt		(from )
11:27:59	275/275	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:05%20GMT	https://owlio.dexignzone.com/laravel/demo/images/favicon.png	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/favicon.png	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:00	744/744	---M--	200	added ('OK')	image/png	etag:%222e8-5bc4a60baa600%22	https://owlio.dexignzone.com/laravel/demo/public/images/favicon.png	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/favicon.png	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:00	293/293	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:06%20GMT	https://owlio.dexignzone.com/laravel/demo/vendor/chartist/css/chartist.min.css	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/vendor/chartist/css/chartist.min.css	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:01	11508/11508	---M--	200	added ('OK')	text/css	etag:%222cf4-58dd9fd247d80%22	https://owlio.dexignzone.com/laravel/demo/public/vendor/chartist/css/chartist.min.css	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/vendor/chartist/css/chartist.min.css	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:02	165575/165575	---M--	200	added ('OK')	image/png	etag:%22286c7-5fdc12f70f280%22	https://owlio.dexignzone.com/social-image.png	F:/new_web/jitendra_project/owlio.dexignzone.com/social-image.png	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:03	314/314	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:09%20GMT	https://owlio.dexignzone.com/laravel/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.6.delayed	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:03	11120/11120	---M--	200	added ('OK')	text/css	etag:%222b70-5fd398839b600%22	https://owlio.dexignzone.com/laravel/demo/public/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:03	270/270	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:09%20GMT	https://owlio.dexignzone.com/laravel/demo/css/style.css	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/css/style.css	(from https://owlio.dexignzone.com/laravel/demo/student)
